Contrast 0,Contrast 45,Contrast 90,Contrast 135,Dissimilarity 0,Dissimilarity 45,Dissimilarity 90,Dissimilarity 135,Homogeneity 0,Homogeneity 45,Homogeneity 90,Homogeneity 135,Energy 0,Energy 45,Energy 90,Energy 135,Correlation 0,Correlation 45,Correlation 90,Correlation 135
21.74057636,44.54763794,23.61168531,39.23214722,2.807879377,3.969604492,2.970269942,3.750244141,0.3736915293,0.2986288119,0.359835748,0.3033881773,0.04867473131,0.04263058125,0.04745537712,0.04278870135,0.9958417968,0.9914776512,0.995472744,0.9924945663
15.05778818,28.47354126,15.8698018,27.9140625,2.294473492,3.148071289,2.397707928,3.092651367,0.4252499055,0.3460003253,0.4083127028,0.3490097977,0.07648305828,0.06734351208,0.07454293844,0.06765595651,0.9964622892,0.9933297331,0.9962723152,0.9934607928
19.5026599,34.45446777,19.60467838,37.11883545,2.772814324,3.730529785,2.850848127,3.831085205,0.3756783947,0.3028078276,0.3582859075,0.2972677906,0.04809173273,0.04227876598,0.04680825173,0.04196370345,0.9962527226,0.9933907372,0.9962342137,0.9928796902
19.54850134,35.41416931,19.28173638,36.63935852,2.706636065,3.58354187,2.702365029,3.652481079,0.3819737491,0.3140662231,0.3745632189,0.3079851337,0.05582936388,0.0496572493,0.05496695395,0.04930425367,0.9942893033,0.9896819158,0.9943685193,0.989324941
21.91540005,37.1566925,22.0313564,42.40432739,3.007204523,4.012832642,3.081180083,4.084716797,0.348292224,0.2808470938,0.3361174311,0.2786664567,0.04361148404,0.03836279888,0.04270678169,0.03827776802,0.9961831969,0.9935390665,0.9961649279,0.9926266164
17.53619071,37.15635851,19.04451547,29.93562438,2.591125247,3.599407862,2.660598481,3.448490203,0.3844324108,0.3114576885,0.3753543493,0.3122593236,0.05897363559,0.05180641308,0.05767189565,0.05198922395,0.9953868658,0.9902460476,0.9949877926,0.9921415879
21.89097459,42.72958374,23.14784472,39.88423157,2.978705618,4.140930176,3.058320161,3.953414917,0.3519076184,0.2797886738,0.3389409652,0.2838011097,0.04536419925,0.03957944732,0.04439017581,0.03989137913,0.9944336135,0.9891555165,0.9941126767,0.9898777217
18.53973127,33.45579529,19.05176921,35.85958862,2.523589494,3.414871216,2.589250973,3.449859619,0.3985870044,0.3188748344,0.3855436953,0.3216379863,0.05441852108,0.0475888326,0.05302747227,0.04743093889,0.9958882157,0.9926031948,0.9957777729,0.9920716984
18.0728964,34.02946472,19.0937956,34.53494263,2.578824173,3.542312622,2.620850559,3.482513428,0.3923521792,0.317602508,0.3802319807,0.3181418701,0.05611090738,0.04915256952,0.05472807727,0.04937345326,0.9956854592,0.9919005188,0.9954461588,0.9917801767
18.09566513,34.52764893,18.81227201,33.55944824,2.555356274,3.486450195,2.646963157,3.503173828,0.3871260251,0.3107280995,0.3754777444,0.3121266282,0.05134628531,0.04474225883,0.05018166893,0.04469692881,0.9949781358,0.9904453294,0.994782173,0.9907131837
20.5728052,35.02389526,17.70985834,35.32255554,2.740758755,3.529083252,2.587047057,3.592849731,0.3840098094,0.3179595158,0.3847673995,0.3171479479,0.0654545769,0.05833219125,0.06397928959,0.05864970496,0.9957608995,0.9928041183,0.9963521328,0.9927427671
16.74126034,30.63563538,15.97753526,28.82862854,2.58151447,3.504470825,2.576605058,3.371627808,0.3907373922,0.3136535645,0.3761366385,0.3193086862,0.0579068141,0.05034903878,0.05604879424,0.0506495593,0.9958308501,0.9923863704,0.9960183154,0.992835481
14.61998419,26.99577332,16.2943215,28.96533203,2.421814202,3.265945435,2.49583536,3.30847168,0.4015901681,0.3264400982,0.3912216251,0.3287677515,0.07003194541,0.06158738276,0.0682119223,0.06157250094,0.9963385985,0.9932565474,0.9959198093,0.9927645511
17.34710907,30.10452271,19.63337488,37.14334106,2.62291768,3.508361816,2.8177134,3.747741699,0.3852455517,0.3075362269,0.3658166487,0.307255349,0.05679814452,0.04997251321,0.05518561252,0.04999229914,0.9970274186,0.9948546473,0.9966355758,0.9936516213
17.62446802,30.83610535,17.14007782,32.79649353,2.63437804,3.493942261,2.59609071,3.492385864,0.3812655087,0.3095655842,0.3769756569,0.3167114405,0.05994173938,0.05275980239,0.0584600901,0.05311059857,0.9959044596,0.9928505892,0.9960147634,0.9923960732
14.64366488,29.88917542,18.17374453,30.5388031,2.381322957,3.304641724,2.562515199,3.309005737,0.4016367031,0.3254477778,0.3859364273,0.3265625908,0.06872783469,0.06087953182,0.06729705035,0.06089036648,0.9961834405,0.9922318256,0.9952633831,0.9920630059
22.8021796,40.22465515,22.43284898,42.65235901,2.870637768,3.805343628,2.875425584,3.875686646,0.366183785,0.3007538479,0.3598637428,0.2988621549,0.06431322896,0.05728743232,0.06289570824,0.05731066803,0.995543005,0.992152277,0.9956147066,0.9916785992
14.19809399,24.10482788,13.88902906,25.33003235,2.411098614,3.081420898,2.386840345,3.156112671,0.3876461671,0.3328834999,0.3863108581,0.3274324712,0.04801634191,0.04374193975,0.047817917,0.04331152242,0.9928230627,0.9878455521,0.9929803286,0.9872277196
18.72045233,37.79928589,20.35268726,33.12786865,2.575966683,3.531280518,2.676678016,3.382476807,0.3815505245,0.3250687858,0.3831704078,0.3256361265,0.05078818048,0.04708167054,0.05091933782,0.04716682122,0.9935234904,0.986912321,0.9929356327,0.9885297461
10.73533256,17.49009705,10.22236746,18.13871765,2.165688838,2.824508667,2.193062986,2.791732788,0.4039487841,0.3371813393,0.392435422,0.3438286921,0.05560416422,0.0504630659,0.05495673357,0.05089128018,0.9943431134,0.9908028682,0.9946118699,0.9904617394
12.0227356,21.3082261,11.12726024,19.04114583,2.134735107,2.852098652,2.190112154,2.758455882,0.415710886,0.3492847929,0.4043856411,0.3526535196,0.05212216854,0.04640701643,0.05079986787,0.04681841709,0.9936502524,0.9887723287,0.9941270866,0.9899668245
18.30151082,33.47758484,19.9088947,36.08683777,2.723051435,3.667739868,2.8203125,3.71131897,0.3773909415,0.3053521243,0.3625954355,0.3062719943,0.05670482619,0.05008267212,0.05534897357,0.05016197464,0.9956503794,0.9920641033,0.9952701584,0.9914454906
18.13849708,37.20527649,21.38495562,35.13545227,2.868251459,3.977981567,2.992202699,3.914016724,0.347078195,0.2817063445,0.3419990134,0.2811668512,0.04558479176,0.03992822617,0.04460956453,0.04007491391,0.9956839109,0.9911610875,0.9949100317,0.9916528467
17.74407223,32.86035156,17.44777481,30.85969543,2.697957198,3.63671875,2.686557636,3.510818481,0.3743170553,0.3043497935,0.3676301129,0.3081794924,0.05108618574,0.04494152728,0.0505139951,0.04493795501,0.995636063,0.9919309889,0.9957112932,0.9924222058
13.11829706,23.64329529,12.63843628,21.326828,2.246124149,2.965835571,2.287876946,2.854904175,0.4017641912,0.341920704,0.3923359486,0.3436575719,0.05293835286,0.0481480674,0.05219931573,0.048113286,0.9943087375,0.9897685918,0.9945371905,0.9907711153
16.97026994,33.00578308,18.4531098,30.72070313,2.841622082,3.890487671,2.884408439,3.761383057,0.3457571084,0.2780844496,0.3389563807,0.2795402689,0.0437628164,0.03842571652,0.04287408217,0.03878269567,0.9966581052,0.9934947039,0.9963592437,0.99394494
17.46329341,28.9747467,17.34344601,33.92236328,2.741777116,3.580368042,2.760517996,3.750610352,0.3632377803,0.292205491,0.3522485949,0.2908964719,0.04520214553,0.03979210902,0.04407547445,0.0395959402,0.9959290103,0.9932618606,0.9959651394,0.9921111975
16.36493799,26.26753235,13.43649684,27.05148315,2.34192607,3.047134399,2.301070039,3.008178711,0.4027713752,0.3420397317,0.3972222201,0.3446332647,0.05742250582,0.05256022622,0.05700616022,0.05275108594,0.9948044092,0.9916774818,0.9957377945,0.9914291398
11.81739421,20.71713257,10.56493191,17.84924316,2.231547909,2.918243408,2.229541586,2.815856934,0.4007437427,0.3389043166,0.3928436438,0.340979898,0.0478413394,0.04354059698,0.0472791851,0.04349756226,0.9925686069,0.9869897862,0.9933526967,0.9887905839
10.70929596,19.07775879,11.69034229,19.85087585,2.099586576,2.809356689,2.210922301,2.768234253,0.416167987,0.3497806416,0.4044399594,0.357214185,0.06296971074,0.0573771384,0.06231783407,0.05787178239,0.9948796542,0.9909030508,0.9944133795,0.990534459
15.80011248,27.68515015,12.49773529,22.3110199,2.377325511,3.045379639,2.249863205,2.924789429,0.4001025561,0.3477197976,0.40539054,0.3466882539,0.05557757983,0.0511741614,0.05596679069,0.05138831003,0.9925763102,0.9870270616,0.9941290592,0.9895453278
